"fish","lake","x","scale_x"
10,5,1.6094379124341,-1.53343032159994
37,41,3.71357206670431,-0.901903269354699
60,171,5.14166355650266,-0.473281165075579
113,25719,10.1549852973469,1.03139870266337
99,59596,10.9953437367072,1.28362078031066
13,1,0,-2.01648107126269
30,44,3.78418963391826,-0.880708373597292
114,58016,10.9684741135546,1.27555623087588
112,19477,9.8769895612299,0.947962089360745
17,10,2.30258509299405,-1.32539168736041
10,85,4.44265125649032,-0.683080134601393
14,1,0,-2.01648107126269
39,174,5.15905529921453,-0.468061271664342
14,3,1.09861228866811,-1.6867476372918
14,54,3.98898404656427,-0.819242135110474
67,82414,11.3195106043783,1.38091502647858
36,36,3.58351893845611,-0.940936934841842
30,1,0,-2.01648107126269
19,5,1.6094379124341,-1.53343032159994
46,5346,8.58410389669886,0.559920162017666
68,2072,7.63626960337937,0.275440678586337
93,17500,9.76995615991161,0.915837479677876
13,673,6.51174532964473,-0.0620698828617617
53,2150,7.67322312112171,0.286531770892665
17,2370,7.77064523412918,0.315771684006688
245,28490,10.257308427492,1.06210958895638
88,4413,8.39231000926955,0.502355853144546
24,29,3.36729582998647,-1.00583333987477
37,9065,9.11217612318895,0.718413809340991
22,3302,8.10228362448007,0.415308405391403
18,3626,8.1958853913148,0.443401693917762
214,32893,10.4010151481581,1.10524119323454
177,69484,11.1488517892218,1.329694120123
17,64500,11.0744205027839,1.30735458876585
50,31500,10.3577428248137,1.09225359795691
5,18500,9.82552601106642,0.932516009524598
22,1125,7.02553831463852,0.092138045667373
156,423488,12.9562804573717,1.87216908381473
74,436000,12.9853975223312,1.8809081721312
13,165,5.10594547390058,-0.484001458442694
11,6206,8.73327184500832,0.604690878986526
48,18400,9.82010594359708,0.930889250496456
14,24,3.17805383034795,-1.06263173457321
28,10340,9.24377514806242,0.757911454530593
17,2,0.693147180559945,-1.80844243702317
17,38000,10.5453414387085,1.14855875292901
21,221,5.39816270151775,-0.396296459216371
13,4650,8.4446224985814,0.518056730440645
14,231,5.44241771052179,-0.383013924294969
21,7154,8.87542691981896,0.647356778009491
24,616,6.42324696353352,-0.0886314555472807
12,31153,10.3466658277645,1.08892898898174
26,27195,10.2107884118571,1.04814724331189
13,406,6.00635315960173,-0.213756421824757
19,399,5.98896141688986,-0.218976315235994
19,1425,7.26192709270275,0.163086900279039
22,60,4.0943445622221,-0.787619619149982
15,71,4.26267987704132,-0.737096079602465
9,15,2.70805020110221,-1.20369688762904
23,98,4.58496747867057,-0.640365869402201
48,684,6.52795791762255,-0.0572038965965219
21,212,5.35658627467201,-0.408775054383649
46,676,6.51619307604296,-0.0607349526880785
14,1080,6.98471632011827,0.0798858830313413
7,111,4.70953020131233,-0.602980073971834
5,8,2.07944154167984,-1.39236516854411
40,8264,9.01966401079947,0.690647565674569
18,9065,9.11217612318895,0.718413809340991
20,357,5.87773578177964,-0.252359166482771
17,347,5.84932477994686,-0.260886339620651
